TaskName,ParticipantPublicID,EventIndex,Response,Question,prePost,cond
iOS-Savage questions,MM_17_a,8,68,connection,1,isot
iOS-Savage questions,MM_17_a,11,90,like,1,isot
iOS-Savage questions,MM_17_a,5,32,similarity,1,isot
iOS-Savage questions,MM_17_a,14,78,trust,1,isot
iOS-Savage questions,MM_17_b,12,4,closeness,1,isot
iOS-Savage questions,MM_17_b,15,29,connection,1,isot
iOS-Savage questions,MM_17_b,11,69,like,1,isot
iOS-Savage questions,MM_17_b,8,38,similarity,1,isot
iOS-Savage questions,MM_17_b,5,64,trust,1,isot
iOS-Savage questions,MM_18_a,3,2,closeness,1,mus
iOS-Savage questions,MM_18_a,15,30,connection,1,mus
iOS-Savage questions,MM_18_a,6,30,like,1,mus
iOS-Savage questions,MM_18_a,12,42,similarity,1,mus
iOS-Savage questions,MM_18_a,9,63,trust,1,mus
iOS-Savage questions,MM_18_b,9,1,closeness,1,mus
iOS-Savage questions,MM_18_b,15,41,connection,1,mus
iOS-Savage questions,MM_18_b,5,73,like,1,mus
iOS-Savage questions,MM_18_b,12,35,similarity,1,mus
iOS-Savage questions,MM_18_b,8,58,trust,1,mus
iOS-Savage questions,MM_1_a,6,2,closeness,1,silent
iOS-Savage questions,MM_1_a,5,23,connection,1,silent
iOS-Savage questions,MM_1_a,12,57,like,1,silent
iOS-Savage questions,MM_1_a,15,52,similarity,1,silent
iOS-Savage questions,MM_1_a,9,38,trust,1,silent
iOS-Savage questions,MM_1_b,16,3,closeness,1,silent
iOS-Savage questions,MM_1_b,9,52,connection,1,silent
iOS-Savage questions,MM_1_b,15,55,like,1,silent
iOS-Savage questions,MM_1_b,12,77,similarity,1,silent
iOS-Savage questions,MM_1_b,6,53,trust,1,silent
iOS-Savage questions,MM_2_a,3,1,closeness,1,mus
iOS-Savage questions,MM_2_a,15,49,connection,1,mus
iOS-Savage questions,MM_2_a,9,55,like,1,mus
iOS-Savage questions,MM_2_a,12,63,similarity,1,mus
iOS-Savage questions,MM_2_a,6,59,trust,1,mus
iOS-Savage questions,MM_2_b,10,1,closeness,1,mus
iOS-Savage questions,MM_2_b,16,51,connection,1,mus
iOS-Savage questions,MM_2_b,9,50,like,1,mus
iOS-Savage questions,MM_2_b,5,46,similarity,1,mus
iOS-Savage questions,MM_2_b,13,68,trust,1,mus
iOS-Savage questions,MM_3_a,6,2,closeness,1,isot
iOS-Savage questions,MM_3_a,5,62,connection,1,isot
iOS-Savage questions,MM_3_a,15,76,like,1,isot
iOS-Savage questions,MM_3_a,9,63,similarity,1,isot
iOS-Savage questions,MM_3_a,12,55,trust,1,isot
iOS-Savage questions,MM_3_b,15,2,closeness,1,isot
iOS-Savage questions,MM_3_b,5,67,connection,1,isot
iOS-Savage questions,MM_3_b,11,79,like,1,isot
iOS-Savage questions,MM_3_b,14,57,similarity,1,isot
